time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1686129124190119400,0.197119384765625,-0.08895000070333481,-0.06311900168657303,0.5651530027389526,0.8177430033683777,-0.007613812107592821,-1.2097527980804443,0.21143296360969543
1686129124199963100,0.206963134765625,-0.08999700099229813,-0.0628570020198822,0.5636720061302185,0.8186709880828857,-0.004095996730029583,-1.20611572265625,0.21616055071353912
1686129124209805800,0.216805908203125,-0.09073899686336517,-0.0621969997882843,0.5637930035591125,0.818556010723114,0.001381521811708808,-1.2062333822250366,0.22175411880016327
1686129124219648800,0.226648681640625,-0.09168600291013718,-0.06220800057053566,0.5634689927101135,0.8186730146408081,0.004110138863325119,-1.2054523229599,0.22588516771793365
1686129124229491700,0.23649169921875,-0.09128399938344955,-0.06259000301361084,0.5629469752311707,0.8190469741821289,0.0006915063713677227,-1.2042953968048096,0.2224605828523636
1686129124239335200,0.246335205078125,-0.08974800258874893,-0.06099199876189232,0.5634210109710693,0.8190119862556458,0.003426195355132222,-1.2050158977508545,0.22064641118049622
1686129124249178000,0.25617822265625,-0.08850300312042236,-0.06204399839043617,0.5641850233078003,0.8185420036315918,-0.00479934411123395,-1.2071340084075928,0.2120988368988037
1686129124259021300,0.266021240234375,-0.08850300312042236,-0.0631830021739006,0.5647209882736206,0.8180850148200989,-0.009652890264987946,-1.2087199687957764,0.20886078476905823
1686129124268864500,0.275864501953125,-0.08850999921560287,-0.06318999826908112,0.5647069811820984,0.81809401512146,-0.009672286920249462,-1.2086899280548096,0.2088627815246582
1686129124278707500,0.28570751953125,-0.08851200342178345,-0.06318700313568115,0.5647010207176208,0.8180980086326599,-0.009656083770096302,-1.2086743116378784,0.20887771248817444
1686129124288550700,0.295550537109375,-0.08851300179958344,-0.06318800151348114,0.5647000074386597,0.8180980086326599,-0.009657984599471092,-1.2086704969406128,0.20887836813926697
1686129124298393600,0.3053935546875,-0.08852799981832504,-0.06318099796772003,0.5646770000457764,0.8181130290031433,-0.009593207389116287,-1.2086139917373657,0.2089560180902481
1686129124308236800,0.31523681640625,-0.08853200078010559,-0.06318599730730057,0.5646669864654541,0.8181189894676208,-0.009610101580619812,-1.2085906267166138,0.20895251631736755
1686129124318080000,0.325080078125,-0.08853200078010559,-0.06319600343704224,0.5646499991416931,0.8181300163269043,-0.009667743928730488,-1.2085524797439575,0.20891015231609344
1686129124327923200,0.334923095703125,-0.08853200078010559,-0.06319200247526169,0.5646389722824097,0.8181380033493042,-0.009656946174800396,-1.2085248231887817,0.2089158147573471
1686129124337766400,0.344766357421875,-0.08852899819612503,-0.06319800019264221,0.564624011516571,0.8181480169296265,-0.009704350493848324,-1.2084895372390747,0.20887325704097748
1686129124347609300,0.354609375,-0.0885230004787445,-0.06320200115442276,0.5646049976348877,0.8181620240211487,-0.009755264967679977,-1.2084463834762573,0.20882084965705872
1686129124357452500,0.36445263671875,-0.0885159969329834,-0.06319700181484222,0.5645869970321655,0.8181750178337097,-0.009766972623765469,-1.208399772644043,0.20879220962524414
1686129124367295700,0.374295654296875,-0.0885159969329834,-0.06320399791002274,0.5645809769630432,0.8181790113449097,-0.00980336032807827,-1.2083879709243774,0.20876650512218475
1686129124377139000,0.384138916015625,-0.08851899951696396,-0.06320499628782272,0.5645740032196045,0.8181840181350708,-0.009803244844079018,-1.2083734273910522,0.20877321064472198
1686129124386982000,0.39398193359375,-0.08851300179958344,-0.0631989985704422,0.5645509958267212,0.8181999921798706,-0.00981038250029087,-1.2083128690719604,0.20874905586242676
1686129124396825000,0.4038251953125,-0.08851300179958344,-0.06320299953222275,0.5645480155944824,0.818202018737793,-0.009830877184867859,-1.2083076238632202,0.2087346762418747
1686129124406668000,0.41366796875,-0.0885080024600029,-0.06319700181484222,0.5645409822463989,0.8182079792022705,-0.009824280627071857,-1.2082895040512085,0.20872581005096436
1686129124416511200,0.42351123046875,-0.08850300312042236,-0.06319800019264221,0.564536988735199,0.818211019039154,-0.009847652167081833,-1.2082793712615967,0.20869673788547516
1686129124426354400,0.4333544921875,-0.0884929969906807,-0.06320799887180328,0.5645220279693604,0.8182219862937927,-0.009936125949025154,-1.2082468271255493,0.2086091935634613
1686129124436197600,0.44319775390625,-0.08848600089550018,-0.06321000307798386,0.5645210146903992,0.8182229995727539,-0.0099684689193964,-1.208243727684021,0.20856943726539612
1686129124446040800,0.453040771484375,-0.08849000185728073,-0.06321199983358383,0.5645260214805603,0.818219006061554,-0.009961342439055443,-1.2082566022872925,0.2085849791765213
1686129124455883800,0.4628837890625,-0.0884850025177002,-0.06321199983358383,0.5645229816436768,0.8182219862937927,-0.009979636408388615,-1.2082501649856567,0.20855991542339325
1686129124465727000,0.47272705078125,-0.08850199729204178,-0.06320399791002274,0.5645049810409546,0.8182330131530762,-0.009900340810418129,-1.2082042694091797,0.20865297317504883
1686129124475570200,0.482570068359375,-0.08851700276136398,-0.06319600343704224,0.5644829869270325,0.8182470202445984,-0.009830244816839695,-1.2081488370895386,0.2087341994047165
1686129124485413400,0.492413330078125,-0.08852499723434448,-0.06318099796772003,0.5644710063934326,0.8182560205459595,-0.009743900038301945,-1.2081173658370972,0.20881138741970062
1686129124495256300,0.50225634765625,-0.08852899819612503,-0.06318800151348114,0.5644599795341492,0.818261981010437,-0.00977047998458147,-1.2080905437469482,0.20880073308944702
1686129124505099500,0.512099609375,-0.08853200078010559,-0.06318599730730057,0.5644490122795105,0.8182700276374817,-0.009759326465427876,-1.2080656290054321,0.20881441235542297
1686129124514942500,0.5219423828125,-0.08851200342178345,-0.06319700181484222,0.5644270181655884,0.8182860016822815,-0.009889061562716961,-1.2080132961273193,0.20867228507995605
