time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1686129125395000000,1.402,0,0,1,12.991999626159668,0,0,39.60000228881836,4.8621477,52.3346872
1686129125481000000,1.488,0,0,1,12.991999626159668,0,0,39.60000228881836,4.8621477,52.3346872
1686129130491000000,6.498,0,0,1,12.991999626159668,0,0,39.60000228881836,4.8621477,52.3346872
1686129136676000000,12.683,0,0,1,12.803000450134277,0.06488361954689026,0,39.60000228881836,4.8621504,52.3346906
1686129140529000000,16.536,0,0,1,12.803000450134277,0.008529316633939743,0,39.60000228881836,4.8621504,52.3346908
1686129146661000000,22.668,0,0,1,13.416999816894531,0.04547400400042534,0,39.60000228881836,4.8621464,52.3346896
1686129150563000000,26.57,0,0,1,13.416999816894531,0.00673254719004035,0,39.60000228881836,4.8621462,52.3346896
1686129156681000000,32.688,0,0,1,13.939000129699707,0.033679451793432236,0,39.60000228881836,4.862144,52.3346881
1686129160595000000,36.602,0,0,1,13.939000129699707,0.004867618903517723,0,39.60000228881836,4.862144,52.3346881
1686129166765000000,42.772,0,0,1,11.83899974822998,0.04692105948925018,0,39.60000228881836,4.8621475,52.3346899
