time,seconds_elapsed,z,y,x
1686129124135892000,0.14289208984375,3.5179500579833984,9.1360502243042,-0.031050002202391624
1686129124160501800,0.167501708984375,3.4990501403808594,9.175950050354004,-0.0019500000635161996
1686129124170389200,0.17738916015625,3.4699501991271973,9.181050300598145,0.010950000956654549
1686129124180271900,0.18727197265625,3.433950185775757,9.15195083618164,0.021000001579523087
1686129124190119400,0.197119384765625,3.4549500942230225,9.15195083618164,0.025950001552700996
1686129124199963000,0.206962890625,3.481950283050537,9.145050048828125,0
1686129124209805600,0.2168056640625,3.5029501914978027,9.157050132751465,0.016050001606345177
1686129124219648800,0.226648681640625,3.513000249862671,9.11205005645752,-0.013950000517070293
1686129124229491700,0.23649169921875,3.5059502124786377,9.148050308227539,-0.032999999821186066
1686129124239335200,0.246335205078125,3.5149502754211426,9.15195083618164,-0.016050001606345177
1686129124249178000,0.25617822265625,3.5269501209259033,9.163949966430664,0.004050000105053186
1686129124259021300,0.266021240234375,3.472050189971924,9.160050392150879,0.032999999821186066
1686129124268864500,0.275864501953125,3.489000082015991,9.133049964904785,0.025950001552700996
1686129124278707500,0.28570751953125,3.520050048828125,9.169050216674805,0.021000001579523087
1686129124288550700,0.295550537109375,3.501000165939331,9.12405014038086,0.016050001606345177
1686129124298393600,0.3053935546875,3.541950225830078,9.148050308227539,0.009000000543892384
1686129124308236800,0.31523681640625,3.493950128555298,9.154950141906738,-0.013950000517070293
1686129124318080000,0.325080078125,3.4870500564575195,9.169050216674805,-0.012000000104308128
1686129124327923200,0.334923095703125,3.4770002365112305,9.17400074005127,-0.025950001552700996
1686129124337766400,0.344766357421875,3.4840502738952637,9.169050216674805,0.028050001710653305
1686129124347609300,0.354609375,3.475050210952759,9.118950843811035,0.013950000517070293
1686129124357452500,0.36445263671875,3.4990501403808594,9.142950057983398,0.013950000517070293
1686129124367295700,0.374295654296875,3.658950090408325,9.315000534057617,0.019050000235438347
1686129124377139000,0.384138916015625,3.4429502487182617,9.13800048828125,0.004050000105053186
1686129124386982000,0.39398193359375,3.490950107574463,9.1399507522583,-0.021000001579523087
1686129124396825000,0.4038251953125,3.4870500564575195,9.15000057220459,-0.012000000104308128
1686129124406668000,0.41366796875,3.520050048828125,9.12600040435791,-0.021000001579523087
1686129124416511200,0.42351123046875,3.5749502182006836,9.160050392150879,-0.025950001552700996
1686129124426354400,0.4333544921875,3.592050075531006,9.1399507522583,-0.019050000235438347
1686129124436197600,0.44319775390625,3.4770002365112305,9.18600082397461,-0.021000001579523087
1686129124446040800,0.453040771484375,3.453000068664551,9.190950393676758,0.009000000543892384
1686129124455883800,0.4628837890625,3.463050127029419,9.148050308227539,-0.0019500000635161996
1686129124465727000,0.47272705078125,3.5059502124786377,9.181050300598145,0.009000000543892384
1686129124475570200,0.482570068359375,3.4699501991271973,9.175950050354004,-0.034950003027915955
1686129124485413400,0.492413330078125,3.511050224304199,9.121050834655762,-0.016050001606345177
1686129124495256300,0.50225634765625,3.5250000953674316,9.160050392150879,-0.0499500036239624
1686129124505099500,0.512099609375,3.541950225830078,9.040050506591797,-0.046950001269578934
1686129124514942500,0.5219423828125,3.6040501594543457,9.13800048828125,-0.0019500000635161996
1686129124524785700,0.53178564453125,3.5149502754211426,9.148050308227539,0.004050000105053186
1686129124534628900,0.54162890625,3.388050079345703,9.193050384521484,0.0019500000635161996
1686129124544472000,0.55147216796875,3.3670501708984375,9.184050559997559,0.06195000186562538
